Name,Overall_Rating,Cuisine,Rate for two,City,Review
Oven The Bakery & Cafe   ,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," This restaurant has truly won my heart with its exceptional dishes. The Vegetable Manchurian and Chicken Tikka Pizza were simply divine. The staff's cooperative nature and attentive service enhanced the dining experience. The ambience is cozy yet stylish, making it a perfect place to relax and indulge."
The Waffle Co.,3.9,"Waffle, Desserts, Pancake, Coffee, Cafe, Shake, Beverages",600,jaipur,Best Pancakes in Jaipur... A must try guys
The Waffle Co.,3.9,"Waffle, Desserts, Pancake, Coffee, Cafe, Shake, Beverages",600,jaipur,the portion size is really small. The waffle and pancakes were really small and not at all value for money. Wouldn't recommend wasting money here. instead make your waffles at home for less than 10 percent of amount 
Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,"Had a nice meal after so long, so satisfying. Food is nice, staffs are great. Keep up the good work."
Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,good food and quality also good.
Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,I ordered a shushi uramaki that's really yummy 😋. I love it . staff also nice and helpful. 
Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,the ambience was good. the guy hosting us Mr Yogi was also very polite and quick.food could have been better
Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,The food was good and Yogi waited our tables with patience and care
Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,Best service given by yogiThanks for best service
Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,"Mindblowing vibe, excellent food, a notch lower than best coffee and greatly served experience by Mr Yogi"
Bellissimo Home Cafe,New,"Cafe, Coffee, Fast Food, Pizza, Italian, Desserts, Beverages","1,000",jaipur,Visited this place for a friend’s birthday and must day it’s really aesthetic.Good food and polite staff.Must visit with family and friends
Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,Modern looking cafe with lots of food options. Also this cafe had a open separate place at the back side for parties and birthdays. Their cappuccino is good enough to try.
Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,"service is good ,food is very tasty as we visited on friendship day me and my friends order pasta,Irish coffee, orange magarhita and many more all items are nicely prepared "
Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,"The food was ok, Order 4 different cold coffee, they gave us milk shakes with alot of flavour syrup, they don't know how to brew a good coffee. Service was so bad even after directing multiple time they weren't listening. horrible experience, would never visit."
Bombaye House,4.1,"Cafe, Chinese, Continental, South Indian, Street Food, Fast Food, Beverages",700,jaipur,We ordered rava masala dosas. The chutney was stale and smelled bad.
Bombaye House,4.1,"Cafe, Chinese, Continental, South Indian, Street Food, Fast Food, Beverages",700,jaipur,1 chola bhatura missing 
Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,donuts was not hot at all.  they didn't heat it before sending 
Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,Not good at all
Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,dilevery boy diliver the food in bad condition...he said his bike slipped..
Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,"Beautiful cafe with great food , amazing atmosphere and great service. I will recommend Qissa at anytime."
Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,"This cozy restaurant has left the best impressions! Hospitable hosts, delicious dishes, beautiful presentation. The ambience is really welcoming. Must visit place. "
Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,First time in Qissa cafe and YOU have to go! It’s the cutest little spot with amazing food. The pasta is to die for. IT WAS FIRE!! The service we received was so amazing and we will definitely be back again. They made us feel welcomed and gave us an amazing experience.
Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,Good Food + Good Conversations kinda place. One of the nicer Italian restaurants in Jaipur. Amazing food and chill vibe. I just loved the pasta and pizza. The dessert just melted in the mouth. You can spend hours here with your food as the ambience is perfect for conversations. Visit for a fun lunch with Girls or late night meal.
